station,Datatime,lon,lat,airpressure,DryBulbSensor,HOBO_rh,HOBO_solar,HOBO_ws,Wet bulb_calculation,Globe bulb_calculation,WBGT_calculation,iso7243_Tg150
SINICA,2019/10/21 08:00,121.6141667,25.0405,1013.25,21.82,83.08,54.6,0,20.22,22,20.7,22
SINICA,2019/10/21 08:05,121.6141667,25.0405,1013.25,21.962,82.7,47,0,20.21,21.81,20.7,21.81
SINICA,2019/10/21 08:10,121.6141667,25.0405,1013.25,21.938,82.6,46.8,0,20.17,21.77,20.7,21.77
SINICA,2019/10/21 08:15,121.6141667,25.0405,1013.25,21.958,82.5,52.8,0,20.26,22.06,20.8,22.06
SINICA,2019/10/21 08:20,121.6141667,25.0405,1013.25,22.032,81.98,60,0,20.38,22.41,21,22.41
SINICA,2019/10/21 08:25,121.6141667,25.0405,1013.25,22.156,81.8,75.4,0,20.69,23.12,21.3,23.12
SINICA,2019/10/21 08:30,121.6141667,25.0405,1013.25,22.296,81.26,75,0,20.75,23.25,21.4,23.25
SINICA,2019/10/21 08:35,121.6141667,25.0405,1013.25,22.5,80.94,71.8,0,20.87,23.34,21.5,23.34
SINICA,2019/10/21 08:40,121.6141667,25.0405,1013.25,22.42,80.82,82.4,0,20.92,23.65,21.6,23.65
SINICA,2019/10/21 08:45,121.6141667,25.0405,1013.25,22.374,80.58,93.6,0,21,24.01,21.7,24.01
SINICA,2019/10/21 08:50,121.6141667,25.0405,1013.25,22.634,79.98,106,0,21.34,24.75,22.2,24.75
SINICA,2019/10/21 08:55,121.6141667,25.0405,1013.25,22.826,79,116.4,0,21.54,25.32,22.4,25.32
SINICA,2019/10/21 09:00,121.6141667,25.0405,1013.25,23.084,78.5,138.4,0,22.01,26.41,23,26.41
SINICA,2019/10/21 09:05,121.6141667,25.0405,1013.25,23.246,77.62,186.6,0,22.64,28.35,23.8,28.35
SINICA,2019/10/21 09:10,121.6141667,25.0405,1013.25,23.818,76.48,289.2,0.1,24.27,32.68,25.9,34.5
SINICA,2019/10/21 09:15,121.6141667,25.0405,1013.25,24.666,73.7,410.4,0.2,24.62,35.97,26.9,38.91
SINICA,2019/10/21 09:20,121.6141667,25.0405,1013.25,24.686,71.2,434.2,0.3,23.83,35.48,26.2,38.65
SINICA,2019/10/21 09:25,121.6141667,25.0405,1013.25,26.09,69.14,550,0,28.08,43.97,31.1,43.97
SINICA,2019/10/21 09:30,121.6141667,25.0405,1013.25,26.436,66.1,611,0.5,24.75,39.94,28,44.45
SINICA,2019/10/21 09:35,121.6141667,25.0405,1013.25,26.052,66.14,566,0.3,25.12,40.38,28.3,44.58
SINICA,2019/10/21 09:40,121.6141667,25.0405,1013.25,25.148,66.9,316,0.5,22.31,31.57,24.4,33.72
SINICA,2019/10/21 09:45,121.6141667,25.0405,1013.25,24.644,68.06,295.2,0.4,22.13,30.96,24.1,32.96
SINICA,2019/10/21 09:50,121.6141667,25.0405,1013.25,24.582,69.04,428.2,0.6,22.47,33.23,24.8,36.24
SINICA,2019/10/21 09:55,121.6141667,25.0405,1013.25,26.108,67.14,385.8,0,26.09,38.24,28.5,38.24
SINICA,2019/10/21 10:00,121.6141667,25.0405,1013.25,25.336,66.78,302,0.2,23.4,33.16,25.5,35.2
SINICA,2019/10/21 10:05,121.6141667,25.0405,1013.25,24.738,67.8,247.4,0.5,21.7,29.5,23.6,31.09
SINICA,2019/10/21 10:10,121.6141667,25.0405,1013.25,24.098,69.38,237.8,1,20.89,27.72,22.6,29.11
SINICA,2019/10/21 10:15,121.6141667,25.0405,1013.25,24.406,69.18,447,1.1,21.8,31.84,24.1,34.75
SINICA,2019/10/21 10:20,121.6141667,25.0405,1013.25,24.568,68.26,293.8,0.7,21.59,29.87,23.5,31.78
SINICA,2019/10/21 10:25,121.6141667,25.0405,1013.25,24.746,68.74,291.2,0.3,22.54,31.51,24.6,33.5
SINICA,2019/10/21 10:30,121.6141667,25.0405,1013.25,24.94,68.32,283.6,0.1,24.09,33.42,26,35.16
SINICA,2019/10/21 10:35,121.6141667,25.0405,1013.25,24.758,67.66,289.2,0.3,22.39,31.44,24.4,33.4
SINICA,2019/10/21 10:40,121.6141667,25.0405,1013.25,24.56,67.92,308,0.8,21.49,29.92,23.5,31.9
SINICA,2019/10/21 10:45,121.6141667,25.0405,1013.25,24.716,67.78,337,0.7,21.83,30.95,23.9,33.19
SINICA,2019/10/21 10:50,121.6141667,25.0405,1013.25,25.1,67.2,352.8,0.3,23.04,33.56,25.4,36.04
SINICA,2019/10/21 10:55,121.6141667,25.0405,1013.25,25.132,66.46,337.4,0.3,22.86,33.15,25.1,35.5
SINICA,2019/10/21 11:00,121.6141667,25.0405,1013.25,24.906,66.74,332.4,0.6,21.95,31.34,24.1,33.58
SINICA,2019/10/21 11:05,121.6141667,25.0405,1013.25,24.896,67.02,331.4,0.4,22.37,32.14,24.6,34.43
SINICA,2019/10/21 11:10,121.6141667,25.0405,1013.25,25.182,66.98,333.2,0.1,24.64,35.41,26.8,37.51
SINICA,2019/10/21 11:15,121.6141667,25.0405,1013.25,25.022,67,331,0.6,22.07,31.43,24.2,33.66
SINICA,2019/10/21 11:20,121.6141667,25.0405,1013.25,25.052,66.86,387.2,1,21.89,31.57,24.1,34.08
SINICA,2019/10/21 11:25,121.6141667,25.0405,1013.25,25.362,66.84,370.2,0.4,22.95,33.62,25.3,36.23
SINICA,2019/10/21 11:30,121.6141667,25.0405,1013.25,25.16,66.2,295.6,0.6,21.92,30.76,24,32.71
SINICA,2019/10/21 11:35,121.6141667,25.0405,1013.25,24.826,66.64,258.8,0.6,21.52,29.56,23.5,31.21
SINICA,2019/10/21 11:40,121.6141667,25.0405,1013.25,24.478,67.44,266.2,0.9,21.1,28.78,23,30.4
SINICA,2019/10/21 11:45,121.6141667,25.0405,1013.25,24.508,67.12,221.6,0.8,20.97,28.05,22.7,29.36
SINICA,2019/10/21 11:50,121.6141667,25.0405,1013.25,24.394,67.4,213,0.8,20.88,27.75,22.6,28.99
SINICA,2019/10/21 11:55,121.6141667,25.0405,1013.25,24.42,67.1,257.8,1.3,20.77,28.05,22.6,29.51
SINICA,2019/10/21 12:00,121.6141667,25.0405,1013.25,24.6,66.84,300,0.7,21.43,30.01,23.5,31.95
SINICA,2019/10/21 12:05,121.6141667,25.0405,1013.25,24.86,66.46,289.8,0.4,22.01,31.01,24.1,32.96
SINICA,2019/10/21 12:10,121.6141667,25.0405,1013.25,24.926,66,340.2,0.5,22.07,31.9,24.3,34.23
SINICA,2019/10/21 12:15,121.6141667,25.0405,1013.25,24.858,65.76,372,0.9,21.58,31.27,23.8,33.69
SINICA,2019/10/21 12:20,121.6141667,25.0405,1013.25,24.968,65.86,500,0.7,22.45,34.72,25.2,38.23
SINICA,2019/10/21 12:25,121.6141667,25.0405,1013.25,25.02,65.62,385.8,0.7,21.99,32.3,24.4,34.92
SINICA,2019/10/21 12:30,121.6141667,25.0405,1013.25,24.902,65.96,375.8,0.6,22.04,32.31,24.4,34.89
SINICA,2019/10/21 12:35,121.6141667,25.0405,1013.25,25.148,65.58,433.6,0.7,22.3,33.46,24.8,36.45
SINICA,2019/10/21 12:40,121.6141667,25.0405,1013.25,25.27,65.38,510.4,0.5,23.13,36.33,26,40.03
SINICA,2019/10/21 12:45,121.6141667,25.0405,1013.25,26.072,63.72,431.2,0.3,23.88,36.65,26.7,39.75
SINICA,2019/10/21 12:50,121.6141667,25.0405,1013.25,25.64,63.96,428.6,0.2,24.25,37.26,27,40.29
SINICA,2019/10/21 12:55,121.6141667,25.0405,1013.25,25.322,63.54,487,1.5,21.64,32.61,24.2,35.6
SINICA,2019/10/21 13:00,121.6141667,25.0405,1013.25,25.376,64,513.8,0.8,22.46,34.98,25.3,38.53
SINICA,2019/10/21 13:05,121.6141667,25.0405,1013.25,25.598,63.66,592,1.2,22.4,35.38,25.3,39.26
SINICA,2019/10/21 13:10,121.6141667,25.0405,1013.25,26.04,63.18,463.6,0.5,23.25,35.96,26.1,39.27
SINICA,2019/10/21 13:15,121.6141667,25.0405,1013.25,26.118,62.78,404.8,0.7,22.61,33.79,25.2,36.55
SINICA,2019/10/21 13:20,121.6141667,25.0405,1013.25,25.32,64.04,373.6,0.9,21.76,31.75,24.1,34.18
SINICA,2019/10/21 13:25,121.6141667,25.0405,1013.25,25.138,65.2,342,0.5,22.18,32.15,24.5,34.49
SINICA,2019/10/21 13:30,121.6141667,25.0405,1013.25,25.116,64.98,294.2,1,21.37,29.8,23.4,31.6
SINICA,2019/10/21 13:35,121.6141667,25.0405,1013.25,24.89,65.7,303.2,0.9,21.39,29.92,23.4,31.82
SINICA,2019/10/21 13:40,121.6141667,25.0405,1013.25,25.038,65.44,289.2,0.6,21.71,30.46,23.8,32.35
SINICA,2019/10/21 13:45,121.6141667,25.0405,1013.25,24.852,65.12,263,0.8,21.18,29.23,23.2,30.85
SINICA,2019/10/21 13:50,121.6141667,25.0405,1013.25,24.512,65.56,240.8,1,20.73,28.14,22.6,29.54
SINICA,2019/10/21 13:55,121.6141667,25.0405,1013.25,24.292,66.04,235.2,0.9,20.65,27.93,22.5,29.3
SINICA,2019/10/21 14:00,121.6141667,25.0405,1013.25,24.264,66.06,224,1.3,20.41,27.26,22.2,28.46
SINICA,2019/10/21 14:05,121.6141667,25.0405,1013.25,24.34,66.32,248.2,1,20.72,28.12,22.6,29.57
SINICA,2019/10/21 14:10,121.6141667,25.0405,1013.25,24.548,66.02,238.6,0.5,21.27,29.04,23.2,30.54
SINICA,2019/10/21 14:15,121.6141667,25.0405,1013.25,24.466,65.9,234.2,0.8,20.85,28.23,22.7,29.62
SINICA,2019/10/21 14:20,121.6141667,25.0405,1013.25,24.496,66.32,211.4,0.4,21.28,28.59,23.1,29.89
SINICA,2019/10/21 14:25,121.6141667,25.0405,1013.25,24.654,66.26,186.2,0.2,21.78,28.81,23.5,29.89
SINICA,2019/10/21 14:30,121.6141667,25.0405,1013.25,24.304,66.08,194.6,0.6,20.71,27.53,22.4,28.65
SINICA,2019/10/21 14:35,121.6141667,25.0405,1013.25,24.012,66.7,164.6,0.7,20.32,26.41,21.9,27.27
SINICA,2019/10/21 14:40,121.6141667,25.0405,1013.25,23.99,67.1,151.6,0.7,20.3,26.12,21.8,26.89
SINICA,2019/10/21 14:45,121.6141667,25.0405,1013.25,23.908,67.4,147.2,0.4,20.51,26.31,22,27.07
SINICA,2019/10/21 14:50,121.6141667,25.0405,1013.25,23.96,67.44,138.8,0.7,20.27,25.8,21.7,26.46
SINICA,2019/10/21 14:55,121.6141667,25.0405,1013.25,23.818,67.3,127.6,0.5,20.2,25.58,21.6,26.17
SINICA,2019/10/21 15:00,121.6141667,25.0405,1013.25,23.728,67.52,110,0.5,20.05,25.06,21.4,25.51
SINICA,2019/10/21 15:05,121.6141667,25.0405,1013.25,23.782,67.8,105.2,0.3,20.3,25.19,21.6,25.6
SINICA,2019/10/21 15:10,121.6141667,25.0405,1013.25,23.894,67.58,101.2,0.1,20.94,25.58,22.2,25.93
SINICA,2019/10/21 15:15,121.6141667,25.0405,1013.25,23.714,67.1,101,0.7,19.81,24.7,21.2,25.05
SINICA,2019/10/21 15:20,121.6141667,25.0405,1013.25,23.602,67.52,94.6,0.4,19.92,24.6,21.2,24.92
SINICA,2019/10/21 15:25,121.6141667,25.0405,1013.25,23.708,67.42,106,0.4,20.07,25.01,21.4,25.42
SINICA,2019/10/21 15:30,121.6141667,25.0405,1013.25,23.726,67.3,95.6,0.2,20.29,24.97,21.6,25.29
SINICA,2019/10/21 15:35,121.6141667,25.0405,1013.25,23.66,67.3,104,0.3,20.12,25.01,21.5,25.41
SINICA,2019/10/21 15:40,121.6141667,25.0405,1013.25,23.632,67.46,115.8,0.6,19.92,25.01,21.3,25.49
SINICA,2019/10/21 15:45,121.6141667,25.0405,1013.25,23.65,67.6,105.8,0.6,19.91,24.81,21.3,25.21
SINICA,2019/10/21 15:50,121.6141667,25.0405,1013.25,23.694,67.8,103.2,0.4,20.1,24.93,21.4,25.32
SINICA,2019/10/21 15:55,121.6141667,25.0405,1013.25,23.654,67.7,83.2,0.2,20.16,24.5,21.4,24.72
SINICA,2019/10/21 16:00,121.6141667,25.0405,1013.25,23.538,67.7,78,0.4,19.78,24.09,21,24.26
SINICA,2019/10/21 16:05,121.6141667,25.0405,1013.25,23.502,67.84,80.8,0.3,19.87,24.19,21.1,24.39
SINICA,2019/10/21 16:10,121.6141667,25.0405,1013.25,23.5,67.88,70.4,0.2,19.92,23.93,21.1,24.04
SINICA,2019/10/21 16:15,121.6141667,25.0405,1013.25,23.456,67.82,62.6,0.2,19.79,23.63,20.9,23.68
SINICA,2019/10/21 16:20,121.6141667,25.0405,1013.25,23.416,67.82,56.6,0.2,19.7,23.34,20.8,23.32
SINICA,2019/10/21 16:25,121.6141667,25.0405,1013.25,23.272,67.96,55.8,0.6,19.35,23.18,20.5,23.15
SINICA,2019/10/21 16:30,121.6141667,25.0405,1013.25,23.286,68.06,55.6,0.5,19.4,23.19,20.5,23.16
SINICA,2019/10/21 16:35,121.6141667,25.0405,1013.25,23.29,67.98,48.2,0.4,19.39,22.99,20.5,22.9
SINICA,2019/10/21 16:40,121.6141667,25.0405,1013.25,23.27,68.04,56.8,0.3,19.49,23.19,20.6,23.17
SINICA,2019/10/21 16:45,121.6141667,25.0405,1013.25,23.298,68.5,56.8,0,19.91,23.24,20.9,23.24
SINICA,2019/10/21 16:50,121.6141667,25.0405,1013.25,23.204,68.56,38.4,0.2,19.42,22.55,20.4,22.38
SINICA,2019/10/21 16:55,121.6141667,25.0405,1013.25,23.072,68.9,23.6,0.3,19.16,22.05,20.1,21.75
SINICA,2019/10/21 17:00,121.6141667,25.0405,1013.25,23.026,69.02,18.2,0.3,19.09,21.85,20,21.5
SINICA,2019/10/21 17:05,121.6141667,25.0405,1013.25,22.926,69.16,13.4,0.2,18.98,21.45,19.9,21.07
SINICA,2019/10/21 17:10,121.6141667,25.0405,1013.25,22.898,69.48,10.4,0.2,18.97,21.33,19.8,20.92
SINICA,2019/10/21 17:15,121.6141667,25.0405,1013.25,22.806,69.9,5.4,0.2,18.9,21.08,19.7,20.63
SINICA,2019/10/21 17:20,121.6141667,25.0405,1013.25,22.774,70.34,2.4,0.2,18.89,20.96,19.7,20.49
SINICA,2019/10/21 17:25,121.6141667,25.0405,1013.25,22.66,70.96,1.6,0,18.82,20.51,19.5,20.51
SINICA,2019/10/21 17:30,121.6141667,25.0405,1013.25,22.424,72.08,1,0.2,18.77,20.57,19.5,20.09
SINICA,2019/10/21 17:35,121.6141667,25.0405,1013.25,22.236,73.26,1,0.1,18.7,20.08,19.3,19.64
SINICA,2019/10/21 17:40,121.6141667,25.0405,1013.25,22.13,73.94,1,0,18.68,19.98,19.3,19.98
SINICA,2019/10/21 17:45,121.6141667,25.0405,1013.25,22.03,74.42,1,0,18.64,19.89,19.2,19.89
SINICA,2019/10/21 17:50,121.6141667,25.0405,1013.25,21.968,74.88,1,0,18.63,19.83,19.2,19.83
SINICA,2019/10/21 17:55,121.6141667,25.0405,1013.25,21.832,75.34,1,0,18.56,19.69,19.1,19.69
SINICA,2019/10/21 18:00,121.6141667,25.0405,1013.25,21.586,76.16,1,0,18.41,19.44,18.9,19.44
SINICA,2019/10/21 18:05,121.6141667,25.0405,1013.25,21.226,77.66,1,0,18.23,19.08,18.7,19.08
SINICA,2019/10/21 18:10,121.6141667,25.0405,1013.25,21.072,78.62,1,0,18.19,18.94,18.6,18.94
SINICA,2019/10/21 18:15,121.6141667,25.0405,1013.25,21.016,79.66,1,0,18.27,18.9,18.7,18.9
SINICA,2019/10/21 18:20,121.6141667,25.0405,1013.25,20.9,80.58,1,0,18.26,18.8,18.6,18.8
SINICA,2019/10/21 18:25,121.6141667,25.0405,1013.25,20.762,81.32,1,0,18.2,18.66,18.5,18.66
SINICA,2019/10/21 18:30,121.6141667,25.0405,1013.25,20.638,81.98,1,0,18.15,18.54,18.5,18.54
SINICA,2019/10/21 18:35,121.6141667,25.0405,1013.25,20.332,83.02,1,0,17.97,18.23,18.3,18.23
SINICA,2019/10/21 18:40,121.6141667,25.0405,1013.25,20.076,83.94,1,0,17.81,17.97,18.1,17.97
SINICA,2019/10/21 18:45,121.6141667,25.0405,1013.25,19.986,84.74,1,0,17.82,17.89,18.1,17.89
SINICA,2019/10/21 18:50,121.6141667,25.0405,1013.25,19.934,85.36,1,0,17.83,17.84,18,17.84
SINICA,2019/10/21 18:55,121.6141667,25.0405,1013.25,19.97,85.92,1,0,17.93,17.9,18.1,17.9
SINICA,2019/10/21 19:00,121.6141667,25.0405,1013.25,19.954,86.3,1,0,17.95,17.89,18.1,17.89
SINICA,2019/10/21 19:05,121.6141667,25.0405,1013.25,19.932,86.48,1,0,17.95,17.87,18.1,17.87
SINICA,2019/10/21 19:10,121.6141667,25.0405,1013.25,19.858,86.94,1,0,17.92,17.84,18.1,17.84
SINICA,2019/10/21 19:15,121.6141667,25.0405,1013.25,19.886,87.14,1,0,17.97,17.84,18.1,17.84
SINICA,2019/10/21 19:20,121.6141667,25.0405,1013.25,20.056,87.26,1,0,18.16,18.03,18.3,18.03
SINICA,2019/10/21 19:25,121.6141667,25.0405,1013.25,20.096,87.16,1,0,18.19,18.07,18.4,18.07
SINICA,2019/10/21 19:30,121.6141667,25.0405,1013.25,20.1,87.06,1,0,18.18,18.08,18.4,18.08
SINICA,2019/10/21 19:35,121.6141667,25.0405,1013.25,20.114,86.92,1,0,18.18,18.09,18.4,18.09
SINICA,2019/10/21 19:40,121.6141667,25.0405,1013.25,20.056,86.9,1,0,18.12,18.02,18.3,18.02
SINICA,2019/10/21 19:45,121.6141667,25.0405,1013.25,20.118,86.9,1,0,18.18,18.09,18.4,18.09
SINICA,2019/10/21 19:50,121.6141667,25.0405,1013.25,20.054,86.94,1,0,18.12,18.02,18.3,18.02
SINICA,2019/10/21 19:55,121.6141667,25.0405,1013.25,20.072,87.14,1,0,18.16,18.05,18.3,18.05
SINICA,2019/10/21 20:00,121.6141667,25.0405,1013.25,20.06,87.24,1,0,18.16,18.04,18.3,18.04
